date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"June 29, 2024",UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",0,Ricky Simon,Vinicius Oliveira,Decision - Unanimous,900,3,0,0,42,96,96,237,44,96,98,237,2,1,11,1,0,0,0,0,31,16
"June 29, 2024",UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",0,Andrei Arlovski,Martin Buday,Decision - Split,900,3,0,0,74,54,119,84,98,165,147,199,0,0,1,0,0,0,0,0,298,160
"September 09, 2023",UFC 293: Adesanya vs. Strickland,"Sydney, New South Wales, Australia",1,Kevin Jousset,Kiefer Crosbie,Submission,289,3,0,0,29,39,58,59,39,45,69,66,1,0,1,0,1,0,0,0,45,0
"June 29, 2024",UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",0,Michelle Waterson-Gomez,Gillian Robertson,Decision - Unanimous,900,3,0,0,21,77,52,105,41,122,75,156,1,2,1,6,0,2,0,0,19,754
"June 29, 2024",UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",1,Payton Talbott,Yanis Ghemmouri,KO/TKO,19,3,1,0,13,1,13,2,13,1,13,2,0,0,0,0,0,0,0,0,1,0
"June 29, 2024",UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",1,Rei Tsuruya,Carlos Hernandez,Decision - Unanimous,900,3,0,0,17,16,32,32,62,26,83,45,3,1,8,2,0,0,0,0,379,269
"September 09, 2023",UFC 293: Adesanya vs. Strickland,"Sydney, New South Wales, Australia",0,Blood Diamond,Charles Radtke,Decision - Unanimous,900,3,0,0,44,35,94,76,75,63,136,112,0,1,3,6,0,0,0,0,21,581
"October 14, 2023",UFC Fight Night: Yusuff vs. Barboza,"Las Vegas, Nevada, USA",0,Ashley Yoder,Emily Ducote,Decision - Unanimous,900,3,0,0,102,117,269,210,105,119,276,213,0,1,3,1,0,0,0,0,9,3
"September 09, 2023",UFC 293: Adesanya vs. Strickland,"Sydney, New South Wales, Australia",0,Shane Young,Gabriel Miranda,Submission,59,3,0,0,1,2,4,6,1,2,4,6,0,1,0,2,0,1,0,0,0,32
"September 09, 2023",UFC 293: Adesanya vs. Strickland,"Sydney, New South Wales, Australia",1,Nasrat Haqparast,Landon Quinones,Decision - Unanimous,900,3,0,0,171,148,377,354,172,152,378,359,0,0,5,0,0,0,0,0,21,41
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",0,Kaue Fernandes,Marc Diakiese,Decision - Split,900,3,0,0,23,13,42,32,67,65,92,92,1,3,1,8,0,0,0,1,87,518
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Charles Johnson,Rafael Estevam,Decision - Unanimous,900,3,0,0,72,18,109,43,116,35,161,77,0,3,0,22,0,1,1,0,43,563
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Trey Ogden,Nikolas Motta,Overturned,791,3,0,0,58,14,83,80,96,16,128,82,3,0,16,0,1,0,0,0,268,0
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",0,Martin Buday,Shamil Gaziev,KO/TKO,356,3,0,0,8,49,20,98,13,60,26,114,0,0,2,0,0,0,0,0,20,138
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Karol Rosa,Vanessa Melo,Decision - Unanimous,900,3,0,0,120,45,228,135,177,78,289,168,2,0,4,2,0,0,0,0,350,6
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,Martin Day,Davey Grant,KO/TKO,758,3,1,1,62,74,160,177,69,87,168,191,0,2,1,4,0,1,1,0,88,128
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Andre Fili,Lucas Almeida,KO/TKO,212,3,1,0,20,10,36,25,25,10,42,25,0,0,0,0,0,0,0,0,15,0
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Marcin Tybura,Maxim Grishin,Decision - Unanimous,900,3,0,0,24,18,52,32,70,54,119,71,3,0,7,0,0,0,0,0,565,16
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Leonardo Santos,Roman Bogatov,Decision - Unanimous,900,3,0,0,66,50,119,117,116,81,181,155,1,1,2,11,0,0,0,1,94,367
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,Elizeu Zaleski dos Santos,Muslim Salikhov,Decision - Split,900,3,0,0,46,40,138,88,46,40,138,88,0,0,4,3,0,0,0,0,53,2
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",0,Rayanne dos Santos,Talita Alencar,Decision - Split,900,3,0,0,57,36,130,157,80,48,156,176,0,1,1,9,0,0,0,0,14,164
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Raulian Paiva,Zhalgas Zhumagulov,Decision - Unanimous,900,3,0,0,52,66,121,119,56,73,125,126,0,2,0,11,0,0,0,0,43,29
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Makwan Amirkhani,Danny Henry,Submission,195,3,0,0,2,6,6,16,2,6,6,16,1,0,1,0,1,0,0,0,47,0
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Amanda Ribas,Paige VanZant,Submission,141,3,0,0,6,3,7,5,13,4,15,6,1,0,1,0,1,0,0,0,68,32
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,Volkan Oezdemir,Jiri Prochazka,KO/TKO,349,3,0,1,41,33,92,73,44,33,95,73,0,0,1,0,0,0,0,0,17,2
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,Jessica Andrade,Rose Namajunas,Decision - Split,900,3,0,0,71,82,205,235,79,82,213,235,1,0,3,1,0,0,0,0,29,0
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Kamaru Usman,Jorge Masvidal,Decision - Unanimous,1500,5,0,0,94,66,151,125,263,88,341,157,5,0,16,0,0,0,0,0,998,0
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,Tatsuro Taira,Carlos Hernandez,KO/TKO,355,3,1,0,33,2,43,4,44,2,60,4,0,0,0,2,0,0,0,0,216,53
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,Steve Garcia,Melquizael Costa,KO/TKO,361,3,1,0,29,6,49,10,41,20,66,25,0,2,0,10,1,0,0,0,46,281
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Petr Yan,Jose Aldo,KO/TKO,1404,5,1,0,194,83,309,157,258,83,376,157,1,0,2,1,0,0,0,0,290,0
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,Tim Elliott,Sumudaerji,Submission,242,3,0,0,10,10,21,25,26,10,37,25,1,0,3,0,1,0,0,0,125,0
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,Luana Santos,Stephanie Egger,Decision - Unanimous,900,3,0,0,53,44,104,115,97,112,161,193,2,1,4,1,0,0,0,0,464,66
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",0,JunYong Park,Andre Muniz,Decision - Split,900,3,0,0,27,14,60,30,52,35,96,60,0,11,0,14,0,0,2,1,178,574
"July 11, 2020",UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Alexander Volkanovski,Max Holloway,Decision - Split,1500,5,0,0,137,102,272,268,139,111,275,277,3,0,9,0,0,0,0,0,86,0
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",0,Song Kenan,Kevin Jousset,Decision - Unanimous,900,3,0,0,62,134,156,235,88,158,188,263,0,1,1,2,0,0,0,0,0,86
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,HyunSung Park,Shannon Ross,KO/TKO,539,3,2,0,50,47,124,115,65,61,154,135,0,0,1,0,0,0,0,0,201,0
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",1,Joshua Van,Felipe Bunes,KO/TKO,571,3,1,0,83,50,141,91,154,57,222,101,1,2,1,6,0,0,0,0,74,122
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,Nasrat Haqparast,Jamie Mullarkey,KO/TKO,104,3,2,0,16,8,29,23,18,8,31,23,0,0,0,0,0,0,0,0,5,0
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",1,Nikolas Motta,Tom Nolan,KO/TKO,63,3,1,0,21,12,40,20,21,12,40,20,0,0,0,0,0,0,0,0,9,0
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",0,Anthony Smith,Khalil Rountree Jr.,KO/TKO,656,3,0,1,47,53,84,114,52,56,89,118,0,0,2,0,0,0,0,0,11,58
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",1,Farid Basharat,Taylor Lapilus,Decision - Unanimous,900,3,0,0,42,40,100,93,55,41,116,94,5,0,16,0,1,0,0,0,418,2
"December 09, 2023",UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",1,Song Yadong,Chris Gutierrez,Decision - Unanimous,1500,5,0,0,77,87,165,145,160,105,283,165,2,0,3,2,0,0,0,0,661,0
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",0,Westin Wilson,Jean Silva,KO/TKO,252,3,0,1,11,25,36,36,11,25,36,36,0,1,3,1,0,0,0,0,4,8
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",1,Marcus McGhee,Gaston Bolanos,KO/TKO,509,3,1,0,65,28,123,81,74,28,134,82,1,0,3,0,0,0,0,0,107,4
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",0,Ricky Simon,Mario Bautista,Decision - Unanimous,900,3,0,0,45,112,108,270,52,118,115,276,2,0,13,3,0,0,0,0,180,14
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",0,Andrei Arlovski,Waldo Cortes-Acosta,Decision - Unanimous,900,3,0,0,58,49,127,136,58,50,127,137,0,0,0,0,0,0,0,0,0,0
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",0,Phil Hawes,Brunno Ferreira,KO/TKO,295,3,0,1,13,19,27,43,13,24,28,49,0,1,1,4,0,0,0,0,0,97
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",1,Jim Miller,Gabriel Benitez,Submission,805,3,0,0,80,80,140,182,96,84,157,188,2,0,2,0,1,0,0,0,235,1
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Landon Quinones,MarQuel Mederos,Decision - Unanimous,900,3,0,0,55,60,149,146,78,74,176,165,1,0,3,5,0,0,0,0,124,253
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",0,Matthew Semelsberger,Preston Parsons,Decision - Unanimous,900,3,0,0,28,47,69,87,33,116,77,165,1,7,2,11,2,2,0,1,188,386
"January 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",1,Magomed Ankalaev,Johnny Walker,KO/TKO,462,5,1,0,39,24,58,71,39,26,58,73,0,0,0,0,0,0,0,0,5,0
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Thomas Petersen,Jamal Pogues,Decision - Unanimous,900,3,0,0,58,65,86,124,116,66,153,125,1,0,6,0,0,0,0,0,167,4
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",1,Luana Carolina,Julija Stoliarenko,KO/TKO,892,3,0,0,66,16,136,59,138,21,230,68,2,1,3,5,0,3,0,0,327,227
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Azat Maksum,Charles Johnson,Decision - Unanimous,900,3,1,0,38,76,163,140,40,81,166,149,2,2,7,6,1,3,1,0,149,47
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",1,JeongYeong Lee,Blake Bilder,Decision - Unanimous,900,3,0,0,49,19,82,54,75,36,121,77,2,0,3,3,0,0,0,0,269,318
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",1,Molly McCann,Diana Belbita,Submission,299,3,0,0,42,29,91,77,43,29,92,77,2,0,2,0,1,0,0,0,68,0
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Gilbert Urbina,Charles Radtke,KO/TKO,287,3,0,2,16,30,38,47,16,33,38,51,0,0,1,0,0,0,0,0,5,8
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Viviane Araujo,Natalia Silva,Decision - Unanimous,900,3,0,0,26,38,67,128,63,65,110,157,1,0,9,1,0,0,0,0,361,0
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",1,Themba Gorimbo,Pete Rodriguez,KO/TKO,32,3,1,0,12,0,18,5,12,0,18,5,0,0,1,0,0,0,0,0,5,0
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Aliaskhab Khizriev,Makhmud Muradov,Could Not Continue,11,3,0,0,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",1,Randy Brown,Muslim Salikhov,KO/TKO,197,3,1,0,13,10,46,22,13,10,46,22,0,0,0,0,0,0,0,0,3,0
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",1,Veronica Hardy,Jamey-Lyn Horth,Decision - Split,900,3,0,0,43,43,101,87,61,74,122,125,1,1,2,3,0,0,0,0,94,239
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",1,Renato Moicano,Drew Dober,Decision - Unanimous,900,3,0,0,23,23,42,59,142,36,177,73,3,1,6,2,0,0,0,0,633,62
"February 03, 2024",UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",0,Roman Dolidze,Nassourdine Imavov,Decision - Majority,1500,5,0,1,34,112,152,189,59,154,190,248,0,0,4,0,0,1,1,0,611,232
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",1,Miesha Tate,Julia Avila,Submission,675,3,0,0,32,3,37,11,127,11,152,21,4,0,5,0,1,0,0,0,655,0
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",1,Rodolfo Bellato,Ihor Potieria,KO/TKO,557,3,0,1,80,73,131,127,99,92,160,153,1,0,4,0,0,0,0,0,169,101
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",0,Wellington Turman,Jared Gooden,Submission,371,3,0,0,37,53,57,83,46,62,73,95,1,1,1,1,0,1,0,0,100,31
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",0,Zach Reese,Cody Brundage,KO/TKO,109,3,0,0,4,9,5,12,10,12,12,16,0,1,0,1,1,0,0,0,0,85
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",0,Punahele Soriano,Dustin Stoltzfus,Submission,550,3,0,1,31,64,73,123,33,78,76,140,0,4,0,7,0,1,0,0,0,132
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",1,Drakkar Klose,Joe Solecki,KO/TKO,101,3,0,0,2,1,2,1,8,9,9,13,0,1,0,2,0,0,1,0,40,53
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",0,Clay Guida,Joaquim Silva,Decision - Unanimous,900,3,0,0,43,46,134,91,63,85,155,141,2,2,11,3,0,2,0,0,263,155
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",0,Rob Font,Deiveson Figueiredo,Decision - Unanimous,900,3,0,0,46,45,94,74,48,53,96,84,0,4,2,7,0,0,0,0,22,242
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",1,Sean Brady,Kelvin Gastelum,Submission,703,3,0,0,14,18,24,32,97,21,130,35,5,0,5,0,3,0,0,1,546,19
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",1,Jalin Turner,Bobby Green,KO/TKO,169,3,1,0,33,15,60,26,33,15,60,26,0,0,0,0,0,0,0,0,12,2
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Cody Garbrandt,Brian Kelleher,KO/TKO,222,3,1,0,20,17,41,25,21,21,42,29,0,0,0,1,0,0,0,0,19,36
"December 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",0,Beneil Dariush,Arman Tsarukyan,KO/TKO,64,5,0,1,2,8,8,15,2,8,8,15,0,0,0,0,0,0,0,0,0,3
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Irene Aldana,Karol Rosa,Decision - Unanimous,900,3,0,0,145,204,308,350,145,204,308,350,0,0,0,1,0,0,0,0,0,0
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",0,Casey O'Neill,Ariane da Silva,Submission,378,3,0,0,31,64,74,127,32,86,75,152,0,1,2,1,0,1,0,0,20,58
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Tagir Ulanbekov,Cody Durden,Submission,565,3,1,0,24,32,41,43,45,55,63,67,2,0,2,0,5,0,1,0,363,36
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Alonzo Menifield,Dustin Jacoby,Decision - Unanimous,900,3,1,0,68,93,117,150,95,113,145,171,1,0,2,0,0,0,0,0,123,128
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Josh Emmett,Bryce Mitchell,KO/TKO,117,3,1,0,2,0,10,3,2,0,10,3,0,0,0,0,0,0,0,0,0,0
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Shavkat Rakhmonov,Stephen Thompson,Submission,596,3,0,0,28,16,36,25,73,26,88,37,1,0,5,0,2,0,0,0,465,0
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Alexandre Pantoja,Brandon Royval,Decision - Unanimous,1500,5,0,0,95,111,156,204,126,281,195,390,8,0,14,1,1,0,0,2,951,47
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Lucie Pudilova,Ailin Perez,Decision - Unanimous,900,3,0,0,20,42,42,74,41,123,67,180,0,2,0,8,1,0,0,0,249,516
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Jeka Saragih,Lucas Alexander,KO/TKO,91,3,1,0,4,11,9,16,4,11,9,16,1,0,1,1,0,0,0,0,5,0
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",0,Tony Ferguson,Paddy Pimblett,Decision - Unanimous,900,3,0,1,62,106,105,165,90,151,134,217,0,1,0,4,0,0,0,0,0,533
"December 16, 2023",UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",1,Leon Edwards,Colby Covington,Decision - Unanimous,1500,5,0,0,57,44,108,126,65,109,116,194,2,2,3,10,2,0,1,0,87,304
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Mick Parkin,Caio Machado,Decision - Unanimous,900,3,0,0,39,76,98,132,69,103,139,164,3,0,10,1,0,0,1,0,383,20
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Christian Leroy Duncan,Denis Tiuliulin,KO/TKO,564,3,1,0,65,30,87,71,90,37,123,81,0,0,2,0,0,0,0,0,291,0
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Jonathan Pearce,Joanderson Brito,Submission,534,3,0,0,14,8,16,20,81,33,96,47,1,1,4,1,0,1,1,0,375,118
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Chase Hooper,Jordan Leavitt,Submission,178,3,0,0,1,3,3,4,13,5,18,10,0,0,0,2,1,0,0,1,57,59
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Chad Anheliger,Jose Johnson,Submission,889,3,0,0,26,63,71,108,47,141,103,198,4,1,8,2,0,1,1,2,378,260
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Luana Pinheiro,Amanda Ribas,KO/TKO,833,3,0,1,55,87,116,224,56,96,120,234,1,0,6,1,0,0,0,0,71,30
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Payton Talbott,Nick Aguirre,Submission,658,3,0,0,28,5,53,12,58,18,90,29,0,2,0,10,1,0,0,0,205,346
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",0,Uros Medic,Myktybek Orolbai,Submission,552,3,0,0,14,8,27,20,17,16,32,31,0,7,0,10,0,1,0,0,2,446
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Brendan Allen,Paul Craig,Submission,638,5,0,0,32,6,43,14,52,13,64,21,2,0,2,2,2,1,0,0,478,34
"November 18, 2023",UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",1,Michael Morales,Jake Matthews,Decision - Unanimous,900,3,0,0,84,57,208,149,84,57,208,149,0,0,1,1,0,0,0,0,7,3
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Elves Brener,Kaynan Kruschewsky,KO/TKO,241,3,1,0,16,8,33,31,16,8,33,31,0,0,0,0,0,0,0,0,3,0
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Eduarda Moura,Montserrat Conejo Ruiz,KO/TKO,434,3,0,0,57,5,77,22,102,9,139,29,3,0,3,0,0,0,0,0,357,2
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Angela Hill,Denise Gomes,Decision - Unanimous,900,3,0,0,76,62,120,133,96,111,153,203,5,1,9,3,0,0,1,1,483,63
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",0,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,Decision - Majority,900,3,1,0,87,75,186,152,109,115,216,211,1,0,9,1,0,1,1,0,265,84
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Vitor Petrino,Modestas Bukauskas,KO/TKO,363,3,1,0,8,9,26,19,14,12,34,23,1,0,2,0,0,0,0,0,138,0
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Rodrigo Nascimento,Don'Tale Mayes,Decision - Unanimous,900,3,0,0,70,79,154,159,91,105,180,190,0,0,3,1,0,0,0,0,141,39
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",0,Gabriel Bonfim,Nicolas Dalby,KO/TKO,573,3,0,1,39,53,91,113,47,64,103,128,3,0,5,1,1,0,0,0,259,87
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Caio Borralho,Abus Magomedov,Decision - Unanimous,900,3,1,0,51,38,103,107,70,39,126,110,0,0,1,0,0,0,0,0,137,0
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",1,Jasmine Jasudavicius,Priscila Cachoeira,Submission,861,3,1,0,93,24,120,50,326,26,398,52,2,0,5,0,3,0,0,0,685,5
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",0,Malcolm Gordon,Jimmy Flick,Submission,377,3,0,0,37,3,70,7,74,7,116,11,1,1,1,4,1,4,0,0,253,67
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",0,Serhiy Sidey,Ramon Taveras,Decision - Split,900,3,0,1,79,62,226,147,81,62,229,148,0,0,4,0,0,0,0,0,24,6
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",0,Yohan Lainesse,Sam Patterson,Submission,123,3,0,0,1,5,9,10,1,5,9,10,0,1,0,1,0,1,0,0,5,41
"November 04, 2023",UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",1,Jailton Almeida,Derrick Lewis,Decision - Unanimous,1500,5,0,0,38,20,56,39,120,28,153,54,6,0,15,2,4,0,1,0,1270,57
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",1,Gillian Robertson,Polyana Viana,KO/TKO,492,3,0,0,23,12,39,41,49,33,91,66,2,0,2,0,1,0,0,0,366,27
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",0,Charles Jourdain,Sean Woodson,Decision - Split,900,3,0,0,60,80,156,168,78,102,175,193,0,1,4,3,1,0,0,0,118,39
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",0,Brad Katona,Garrett Armfield,Decision - Unanimous,900,3,0,0,64,105,155,168,76,130,172,193,4,0,9,1,0,0,0,0,275,0
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",0,Arnold Allen,Movsar Evloev,Decision - Unanimous,900,3,0,0,59,51,140,118,61,72,143,141,0,5,0,17,1,0,0,0,3,211
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",1,Neil Magny,Mike Malott,KO/TKO,885,3,0,0,57,45,102,67,110,100,159,128,1,4,2,6,0,0,0,0,107,362
"January 20, 2024",UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",1,Raquel Pennington,Mayra Bueno Silva,Decision - Unanimous,1500,5,0,0,134,69,201,88,265,96,342,118,1,3,3,9,2,3,2,0,688,538
